movie_id,description,duration,featured_year,imdb,poster,title
1,"Harry Potter, an eleven-year-old orphan, discovers that he is a wizard and is invited to study at Hogwarts. Even as he escapes a dreary life and enters a world of magic, he finds trouble awaiting him.",02:32:00,2002,7.5,...,"Harry Potter and the Philosophers Stone"
2,"Scott, a master thief, gains the ability to shrink in scale with the help of a futuristic suit. Now he must rise to the occasion of his superhero status and protect his secret from unsavoury elements.",01:57:00,2015,7.3,...,Ant-Man
3,"A lawyer is assigned to travel to a village to examine a house that belonged to a recently deceased woman. He discovers the spirit of the same woman and learns that she's killing the village children.",01:35:00,2012,6.4,...,"The Woman in Black"
4,"Belle embarks on a journey to save her father from a creature that has locked him in his dungeon. Eventually, she learns that the beast is an enchanted prince who has been cursed.",02:09:00,2017,7.1,...,"Beauty and the Beast"
5,"While the March sisters enter the threshold of womanhood, they go through many ups and downs in life and endeavour to make important decisions that can affect their future.",02:15:00,2019,7.8,...,"Little Women"
6,"Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past.",01:45:00,2012,7.9,...,"The Perks of Being a Wallflower"
7,"Natasha Romanoff, a member of the Avengers and a former KGB spy, is forced to confront her dark past when a conspiracy involving her old handler arises.",02:13:00,2021,6.7,...,"Black Widow"
8,"When Bella Swan relocates to Forks, Washington, to live with her father, she meets a mysterious boy, Edward Cullen, and gets drawn to him. Later, she discovers that he is a vampire.",02:02:00,2009,5.3,...,Twilight
9,"Batman is called to intervene when the mayor of Gotham City is murdered. Soon, his investigation leads him to uncover a web of corruption, linked to his own dark past.",02:56:00,2022,7.8,...,"The Batman"
10,"Andrew, Eric and their adopted daughter, Wen, travel to the countryside for a vacation. But their family's time together is interrupted by four armed strangers demanding an unthinkable sacrifice.",01:42:00,2023,6.1,...,"Knock at the Cabin"
11,"A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.",03:00:00,2019,7.4,...,Servant
12,"During the early days of the 20th century, a powerful group wants to plunge the world into war. An independent intelligence agency must work relentlessly in the shadows to foil their sinister plans.",02:11:00,2021,6.3,...,"The King's Man"
13,"An FBI Agent is called out of early retirement to catch a serial killer. He asks for the help of his arch-nemesis, Dr Hannibal Lecter.",02:04:00,2002,7.2,...,"Red Dragon"
14,"Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan.",01:52:00,2022,6.1,...,"The Lost City"
15,"When Harry gets chosen as the fourth participant in the inter-school Triwizard Tournament, he is unwittingly pulled into a dark conspiracy that slowly unveils its dangerous agenda.",02:37:00,2005,7.7,...,"Harry Potter and the Goblet of Fire"
